ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
EKUUAE0063,CW,737,830,1385,1180,627,944
EKUUAE0066,CCW,664,761,1177,1169,600,734
EKUUAE0066,CW,758,843,1260,3422,1643,2371
EKUUAE0069,CCW,434,486,748,399,249,277
EKUUAE0069,CW,801,850,1221,1492,760,1093
EKUUAE0071,CCW,431,451,649,1645,895,1498
EKUUAE0071,CW,618,654,902,4109,2419,3727
EKUUAE0081,CCW,76,111,147,167,91,131
EKUUAE0081,CW,744,794,996,2801,1357,2038
EKUUAE0087,CCW,731,775,1242,422,234,305
EKUUAE0087,CW,893,1020,1552,1095,545,711
EKUUAE0091,CCW,452,455,798,221,109,150
EKUUAE0091,CW,509,596,891,647,326,488
EKUUAE0093,CCW,907,947,1394,452,253,319
EKUUAE0093,CW,706,753,1144,1376,565,829
EKUUAE0104,CCW,911,888,1223,4648,2550,3376
EKUUAE0104,CW,591,653,847,3430,1903,2404
EKUUAE0108,CCW,1085,1113,1680,1122,660,951
EKUUAE0108,CW,891,1000,1357,640,390,408
EKUUAE0116,CCW,1332,1386,2206,642,395,498
EKUUAE0116,CW,1009,1088,1642,1210,570,863
EKUUAE0122,CCW,964,986,1507,33,16,8
EKUUAE0122,CW,850,1054,1483,402,237,311
EKUUAE0124,CCW,1145,1256,1910,463,311,310
EKUUAE0124,CW,839,889,1370,1547,980,1228
EKUUAE0147,CCW,392,445,636,2078,1300,1587
EKUUAE0147,CW,607,619,996,6223,3402,4580
EKUUAT0002,CCW,1089,1154,1822,439,242,350
EKUUAT0002,CW,1193,1392,2003,409,248,370
EKUUAT0005,CCW,1169,1201,1740,981,555,706
EKUUAT0005,CW,979,1041,1545,1453,769,1081
EKUUAT0017,CCW,928,967,1427,329,151,319
EKUUAT0017,CW,869,881,1284,664,325,535
EKUUAT0019,CCW,713,704,1062,351,213,374
EKUUAT0019,CW,711,778,1050,394,182,339
EKUUAT0020,CCW,1209,1299,2076,306,303,364
EKUUAT0020,CW,953,1045,1604,1135,667,935
EKUUAT0028,CCW,665,660,1014,572,305,523
EKUUAT0028,CW,921,943,1494,1174,582,985
EKUUAT0030,CCW,631,656,1084,562,306,362
EKUUAT0030,CW,258,302,399,602,364,462
EKUUAT0034,CCW,807,936,1216,806,403,600
EKUUAT0034,CW,690,751,1043,921,474,763
EKUUAT0036,CCW,946,979,1579,450,299,385
EKUUAT0036,CW,724,742,1261,1121,541,870
EKUUAT0038,CCW,910,951,1353,311,180,239
EKUUAT0038,CW,758,730,1081,1244,757,1072
EKUUAT0049,CCW,595,632,897,3056,1546,2091
EKUUAT0049,CW,670,689,934,6393,3703,5486
EKUUAT0056,CCW,676,680,1202,171,114,131
EKUUAT0056,CW,782,842,1404,1176,670,902
EKUUAT0062,CCW,657,799,1111,139,55,138
EKUUAT0062,CW,809,886,1284,808,391,700
EKUUAT0066,CCW,928,1016,1548,953,441,753
EKUUAT0066,CW,723,813,1163,758,346,501
EKUUAT0078,CCW,1242,1260,1938,182,101,147
EKUUAT0078,CW,1021,1105,1729,887,482,681
EKUUAT0090,CCW,712,788,1074,598,237,342
EKUUAT0090,CW,830,933,1328,798,421,618
EKUUAT0093,CCW,868,981,1563,626,318,433
EKUUAT0093,CW,638,706,1137,925,536,711
EKUUAT0095,CCW,998,1124,1646,741,428,605
EKUUAT0095,CW,861,963,1532,387,159,179
EKUUAT0104,CCW,1342,1533,2188,1478,837,1142
EKUUAT0104,CW,1138,1207,1776,3691,1979,2917
EKUUAT0109,CCW,744,825,1212,673,404,554
EKUUAT0109,CW,757,801,1288,337,161,214
EKUUAT0115,CCW,721,829,1414,866,441,613
EKUUAT0115,CW,853,917,1454,832,460,597
EKUUAT0123,CCW,472,478,721,364,194,295
EKUUAT0123,CW,537,685,1046,1049,505,714
EKUUAT0128,CCW,805,928,1261,383,221,240
EKUUAT0128,CW,627,646,1018,1376,728,1010
EKUUAT0131,CCW,579,644,1008,667,324,494
EKUUAT0131,CW,658,783,1033,1123,558,856
EKUUAT0138,CCW,473,528,758,457,280,342
EKUUAT0138,CW,759,820,1180,911,529,743
EKUUAT0148,CCW,890,900,1431,141,60,96
EKUUAT0148,CW,1054,1096,1649,641,341,442
EKUUAT0151,CCW,1320,1266,2123,116,67,77
EKUUAT0151,CW,649,657,1044,709,436,544
EKUUAT0153,CCW,447,462,681,223,142,160
EKUUAT0153,CW,806,760,1297,1131,597,792
EKUUUT0001,CCW,1081,1072,1538,117,75,98
EKUUUT0001,CW,797,884,1176,925,451,646
EKUUUT0005,CCW,669,672,1083,605,394,523
EKUUUT0005,CW,518,540,831,494,232,307
EKUUUT0008,CCW,1177,1277,1895,1022,596,787
EKUUUT0008,CW,723,689,1208,702,434,580
EKUUUT0012,CCW,526,523,905,2075,1011,1585
EKUUUT0012,CW,723,746,1149,2581,1458,2167
