"logFC.CW","ID","p.CW","logFC.CCW","p.CCW","logFC","call","Size"
-0.0790504636094387,"ORF56791",0.0205321591183117,0.792147945487885,0.465975090329505,0.421334382799126,"Inactive",1287
0.530275397617589,"KNGUT0046",0.266724805231745,0.301900494489348,0.000961121191521524,0.42060213055467,"Inactive",166
0.0857938788838108,"ORF54128",0.00750114472799939,0.69094945439656,0.661282263622327,0.419871703300675,"Inactive",390
0.262906421396094,"ORF71288",0.0848863382224894,0.560700609158428,0.760682267705586,0.419473569007243,"Inactive",1101
-0.330532899552762,"ORF53747",0.00101043719014147,0.908349315533141,0.150952244040541,0.41799530999607,"Inactive",795
0.58841437912528,"ORF55852",0.882249293621469,0.211524214742047,0.104772666255312,0.412241823090839,"Inactive",1308
0.495453819326308,"KNGAE0075",0.119578245516037,0.322811733285911,0.0065593564288287,0.41171366850033,"Inactive",386
0.727955613256757,"EKSUAT0118",0.357479709864726,0.00343471010346286,8.19028457345231e-05,0.410706866346504,"Inactive",588
0.239429709209688,"KNGAE0024",0.00821734272087432,0.558129782006614,0.44304460327747,0.407562256808977,"Inactive",393
0.904890809475781,"KUUAT0030",0.00292531493177805,-0.36469566781032,3.14888092097364e-09,0.405467157155448,"Inactive",209
0.0135905289673007,"ORF56507",0.00346182522663456,0.709888489706953,0.477310432776096,0.403345409044249,"Inactive",486
0.266689045924199,"KNGAT0015",0.000858109498271881,0.523137589725341,0.179744498284536,0.400604008781183,"Inactive",196
-0.470385083248252,"KSUAT0058",1.98902162759649e-09,0.939073066969187,0.00376555784790854,0.400028467387949,"Inactive",223
-0.725316044522095,"ORF71586",0.000127408308125575,1.0242029555041,0.0208451855836208,0.399827318917663,"Inactive",1521
0.68206190976213,"KNGAT0127",0.46754734430808,0.045583404757206,1.01914542161552e-06,0.398641311552447,"Inactive",159
-1.09944073432645,"ORF54876",2.77241776299022e-05,1.1025174537158,0.0269092727824543,0.386252509550575,"Inactive",1773
0.936227345700727,"KUUUT0080",0.000863770730855352,-0.517303420037821,1.60527208562386e-08,0.385262244854556,"Inactive",216
0.0665217137044662,"EKNGAE0048",0.000315822360474839,0.644143850526489,0.85565663164961,0.384050073459044,"Inactive",436
0.928300751289821,"KUUAE0091",0.00426110402510798,-0.504987370153985,2.2209445162162e-09,0.382777780473815,"Inactive",216
-0.0276710438265997,"ORF54914",0.0149469492332197,0.698648394180428,0.699277579485976,0.380721819951809,"Inactive",1362
-0.755137785449441,"TRE4_0010A",9.85167355042168e-06,1.00577884662253,0.00936044028497334,0.378798494265493,"Inactive",737
1.18528678773371,"KUUUT0037",3.72707474195063e-06,-1.64020998206211,1.18342434977387e-11,0.375676571578485,"Inactive",286
-0.108631207278971,"KNGUT0025",6.71277215868005e-08,0.735489678514563,0.119343438809133,0.37430508799439,"Inactive",158
0.0195716675726558,"KSUAT0001",4.54612968312339e-07,0.656043730439334,0.770181079675419,0.372625654081762,"Inactive",228
-0.683347678381302,"KSSAT0022",9.88488315234711e-08,0.974997181176758,0.0001864949949718,0.372036044392462,"Inactive",325
0.938424685974217,"ORF52579",0.00494906533677327,-0.582611592671292,2.20892362882788e-09,0.369711251440144,"Inactive",291
0.694811238762744,"KUUAT0092",0.408873504515482,-0.0630090356285995,5.70013041496335e-08,0.365097923560237,"Inactive",188
0.610717150893148,"KSUAT0042",0.889412290878566,0.0674854463507715,4.7753156461596e-06,0.364520188907601,"Inactive",240
0.0382632528525009,"ORF56572",0.0201206028474416,0.625572821984507,0.99533134266014,0.361600046939924,"Inactive",933
-0.771116226399376,"ORF56004",6.90919779539448e-06,0.987033724609539,0.00852587590243953,0.3606841869616,"Inactive",798
-1.51728083151634,"ORF71105",6.54797170924009e-06,1.14679457246062,0.00635560597594174,0.358147310979905,"Inactive",1314
-0.419924582508802,"EKSUUT0040",5.44661855268315e-06,0.85695280041123,0.129422236040255,0.355395447116192,"Inactive",592
1.16105221555886,"KNGAE0122",2.33922822835168e-06,-1.64054814361176,3.70673765052694e-12,0.354417870387522,"Inactive",210
0.110864382531685,"ORF53802",0.0379343451128341,0.555343588959464,0.744935839588305,0.350154134825496,"Inactive",993
0.635830757707282,"TRE4_0157A",0.962369402262316,-0.0161549889207118,0.0406361891772279,0.346359510619274,"Inactive",1230
0.258000629924105,"ORF54962",0.0185532576695028,0.42931552301511,0.170497651584812,0.346199462960221,"Inactive",345
0.429731901027373,"KUUAT0055",0.0215398178348944,0.249666822732138,6.83364305913258e-05,0.342506816670156,"Inactive",202
-1.0461878598225,"KUUAE0141",1.35268317901644e-09,1.03612649642054,2.76912973948909e-05,0.341963159329568,"Inactive",206
-1.20537978568372,"ORF53933",4.09967203334243e-05,1.06308344212952,0.0141265051887252,0.335167388993035,"Inactive",1791
0.805141199545004,"KUUUT0065",0.131766515106551,-0.375396299298506,2.47437395096646e-09,0.332398839273746,"Inactive",224
-0.248349778203537,"KSUAT0024",1.17618298159262e-07,0.743113616863441,0.16402258717531,0.330927268707523,"Inactive",251
0.706277405835834,"KNGAE0005",0.414396661412559,-0.190196035275462,7.17829863702984e-08,0.326580661985652,"Inactive",271
-1.73822311462343,"KUUAT0006",9.54299655939346e-11,1.1411852254153,1.28031489534384e-05,0.325017981969839,"Inactive",256
0.132298248053053,"EKNGAT0094",0.00243376355631847,0.486878194085429,0.34322008069345,0.320454322312646,"Inactive",446
0.711241862284047,"EKNGAE0049",0.386935443597654,-0.22651905024442,1.32400068847941e-06,0.317250478472338,"Inactive",442
-0.188760510164699,"ORF13943",0.0193660400293029,0.688184498448177,0.794232461656772,0.315342362386016,"Inactive",1518
-0.0621360114278314,"KNGAE0011",3.83026494676747e-07,0.613910504136171,0.91927123994015,0.315129554794453,"Inactive",212
0.73394788072778,"EKNGUT0111",0.395435202396325,-0.301482777803664,2.81595762591001e-05,0.307196577573862,"Inactive",437
0.425606760788377,"ORF54395",0.424635649986937,0.177344556822087,0.0518681079154638,0.306809272542178,"Inactive",1368
0.124255314689699,"ORF71334",0.099951507557345,0.467575583357788,0.584928867668798,0.30610399595478,"Inactive",756
-1.11475787732007,"ORF70577",5.7204436719489e-07,1.00646634409837,0.00888312411254194,0.304950805086384,"Inactive",477
0.724698565014902,"KNGAT0146",0.252967539696855,-0.291891837223713,3.5134812374739e-09,0.304152102585971,"Inactive",164
0.18097935940378,"KSSAT0143",0.000156932295689051,0.416978201481782,0.0168717633246881,0.30379905293781,"Inactive",244
0.947960865942992,"EKNGAT0080",0.00212646176274316,-0.912790917413786,7.86686389447449e-09,0.298834597840356,"Inactive",482
0.667773915388917,"KNGAT0092",0.606262115300529,-0.211581836940546,1.50525342292787e-09,0.294082332872468,"Inactive",185
-0.129035679616701,"EKNGAE0027",0.000149655183728193,0.614103206987973,0.934719788249334,0.289863221899175,"Inactive",529
-0.0814836784862744,"KSSAT0079",3.77850452385932e-07,0.584689825979445,0.654181221788671,0.289717472441594,"Inactive",250
1.22289344234837,"KSUAT0013",9.52748660869382e-08,-3.19261678986726,4.43729644366067e-13,0.288961468972062,"Inactive",155
-0.701025769884845,"ORF71174",0.000719073362331623,0.865257120884521,0.33202424877881,0.284987245760497,"Inactive",1941
-1.54553635228258,"KUUAT0028",4.58682788021498e-11,1.06082946567971,2.0712808463522e-05,0.280183642432838,"Inactive",223
-0.459529232961709,"KSSAT0138",1.79162953244746e-08,0.764793801159694,0.166119143023406,0.278788061377645,"Inactive",305
0.905345108936713,"EKNGAE0036",0.0281105893698679,-0.860915710646006,1.47456615875705e-06,0.27714890176694,"Inactive",572
0.145307111153369,"ORF53814",0.0460166266327854,0.39609855363982,0.324318051062848,0.276145537831522,"Inactive",1233
0.775516205673762,"KNGAT0037",0.0981532352746934,-0.502263676648325,4.27243168602954e-10,0.273695264046161,"Inactive",249
0.432505568015411,"ORF53432",0.303892431305217,0.0912641825940538,0.00321433914481029,0.27195069310624,"Inactive",591
0.586814017006754,"EKUUAE0055",0.745733652450204,-0.140004010935294,2.76462374454597e-07,0.268699628660197,"Inactive",432
0.211625531416302,"KNGAT0063",0.000141053095123419,0.322079199155292,0.00169892305038825,0.267909157774809,"Inactive",216
-1.14101879737881,"ORF55921",2.91409061601309e-05,0.966300248033433,0.054260453318536,0.267393705317311,"Inactive",1344
0.415803546701708,"ORF55283",0.42148278859151,0.100594868721393,0.0306451165769023,0.266790725135988,"Inactive",903
0.957143256342856,"KNGAE0046",0.00311089066337915,-1.118636587835,7.41810333893335e-10,0.26423047698248,"Inactive",319
